fecha factura;id_ext; importe total en moneda local;importe total en euro;importe sin iva en euro;tarifa de cambio;país de origen;moneda local
02/12/2025;421215B600PA25;31,42;31,42;31,42;;NL;EUR
02/12/2025;1389113ΜтΠΑ25;48,42;48,42;48,42;;IT;EUR
01/12/2025;1873337G5PA25;514,48;514,48;514,48;;FR;EUR
23/12/2025;5692144M5PA25;503,51;503,51;503,51;;DE;EUR
02/12/2025;419906B600PA25;25,76;25,76;25,75;;NL;EUR
02/12/2025;1346275MUPA25;560,34;560,34;463,09;;ES;EUR
10/12/2025;1399785MUPA25;629,6;629,6;520,33;;ES;EUR
24/11/2025;5106426M5PA25;503,69;503,69;503,69;;DE;EUR
02/12/2025;1879828G5PA25;3,45;3,45;3,45;;FR;EUR
13/11/2025;1258380MUPA25;624,23;624,23;515,89;;ES;EUR
01/10/2025;1484434G5PA25;514,28;514,28;500,55;;FR;EUR
02/10/2025;335363B600PA25;16,24;16,24;16,22;;NL;EUR
02/10/2025;330367B600PA25;28,67;28,67;28,67;;NL;EUR
02/10/2025;1112398MTPA25;271,74;271,74;271,74;;IT;EUR
02/10/2025;1059687MUPA25;563,75;563,75;465,91;;ES;EUR
26/10/2025;1644530G5PA25;517,68;517,68;517,68;;FR;EUR
26/10/2025;4550892M5PA25;504,52;504,52;504,52;;DE;EUR
11/10/2025;1121341MUPA25;621,72;621,72;513,82;;ES;EUR
20/10/2025;1195925MTPA25;520,17;520,17;520,17;;IT;EUR
02/11/2025;387024B600PA25;24,55;24,55;24,55;;NL;EUR
02/11/2025;379766B600PA25;25,51;25,51;25,51;;NL;EUR
21/10/2025;1145644MUPA25;624,59;624,59;516,19;;ES;EUR
02/11/2025;1250386MTPA25;359,75;359,75;349,42;;IT;EUR
01/11/2025;1177272MUPA25;625,57;625,57;502,9;;ES;EUR
02/11/2025;4687745M5PA25;116,59;116,59;115,64;;DE;EUR
02/11/2025;168819765PA25;110,47;110,47;110,47;;FR;EUR
03/11/2025;1237580MUPA25;113,3;113,3;93,64;;ES;EUR
21/12/2025;1439470MUPA25;610,23;610,23;504,32;;ES;EUR
20/12/2025;1506979ΜΤΡΑ25;509,42;509,42;509,42;;IT;EUR
16/11/2025;1320156MTPA25;516,14;516,14;516,14;;IT;EUR
29/12/2025;2080758G5PA25;505,52;505,52;505,52;;FR;EUR
24/11/2025;1292542MUPA25;624,98;624,98;516,51;;ES;EUR
02/10/2025;4132482M5PA25;34,8;34,8;34,8;;DE;EUR
02/12/2025;5291802M5PA25;168,96;168,96;167,67;;DE;EUR
01/12/2025;1376803MTPA25;516,97;516,97;516,97;;IT;EUR
